u_id,f_id,note,texte
1,1,9,"Un chef-d'œuvre absolu, je suis resté bouche bée du début à la fin."
1,32,9,"Naze"
1,26,9,"Le real ce moque de nous"
2,2,1,"bonne blague"
3,3,6,"Pas vraiment mon genre de film, mais la performance des acteurs était impressionnante."
4,4,10,"Le meilleur film que j'ai jamais vu, une expérience inoubliable !"
5,5,3,"Je ne comprends pas tout le battage autour de ce film, je l'ai trouvé ennuyeux."
6,6,9,"Une œuvre d'art cinématographique, chaque scène était magnifiquement réalisée."
7,7,6,"Un bon divertissement, mais l'intrigue manquait de profondeur."
8,8,8,"Un film intrigant avec des rebondissements inattendus, j'ai adoré chaque minute."
9,9,4,"Je suis sorti du cinéma déçu, l'histoire était prévisible et les personnages peu développés."
9,26,4,"Je me suis endormi, puis réveiller pour me rendormir"
9,10,4,"J'ai pleuré une riviere"
10,10,8,"Un film très émouvant, j'ai versé quelques larmes à la fin."
1,11,5,"Trop cliché à mon goût, l'histoire manquait d'originalité."
2,24,7,"Une belle histoire d'amour, mais certains moments semblaient forcés."
3,25,8,"Un film qui m'a fait réfléchir longtemps après l'avoir vu, une véritable expérience intellectuelle."
4,26,3,"Je n'ai pas du tout aimé ce film, trop de longueurs et un scénario confus."
5,27,6,"Des performances d'acteurs solides, mais l'histoire manquait de cohérence."
6,28,9,"Une comédie hilarante, j'ai ri du début à la fin."
7,29,2,"Je n'ai pas trouvé ce film drôle du tout, j'ai même eu du mal à rester jusqu'à la fin."
8,30,8,"Un bon divertissement, mais rien de révolutionnaire."
9,31,7,"Un film d'action palpitant avec des effets spéciaux impressionnants."
10,32,6,"L'histoire était prévisible, mais les scènes d'action étaient spectaculaires."
10,33,1,"Et dire que ce film a été présenté a Cannes hahaha"
10,1,1,"Les super héros c'est pour les enfants"
1,33,4,"Je m'attendais à mieux, l'intrigue était trop simpliste à mon goût."
2,34,6,"Un thriller captivant avec une fin surprenante, j'ai été tenu en haleine jusqu'à la dernière seconde."
3,35,4,"Je suis resté perplexe à la fin, certaines parties de l'intrigue étaient peu claires."
4,36,7,"Un bon film, mais la résolution du mystère était un peu décevante."
5,37,7,"Une histoire touchante avec des performances d'acteurs remarquables."
6,38,5,"J'ai trouvé ce film un peu trop sentimental à mon goût."
7,39,9,"Une œuvre cinématographique remarquable, chaque image était magnifique."
8,40,9,"Un film d'horreur terrifiant, je n'ai pas osé dormir la nuit suivante."
9,41,3,"J'ai trouvé ce film ridicule, les effets spéciaux étaient exagérés."
9,2,10,"EXCEPTIONNEL"
10,42,8,"Un bon film d'horreur, mais l'intrigue manquait de profondeur."
1,43,9,"Un film incroyable, j'ai été captivé du début à la fin."
2,44,7,"Une belle histoire, mais je l'ai trouvée un peu prévisible."
3,45,8,"Des effets spéciaux étonnants, mais l'histoire manquait de profondeur."
4,46,6,"Un film émouvant avec des performances d'acteurs exceptionnelles."
5,47,8,"Une comédie légère, parfaite pour une soirée détente."
6,48,7,"Une intrigue captivante avec des rebondissements inattendus."
7,49,8,"Un film d'action palpitant, j'ai adoré chaque minute."
8,50,6,"Un thriller haletant, mais la fin était un peu décevante."
9,51,9,"Un chef-d'œuvre absolu, je le recommande à tout le monde !"
10,52,8,"Le meilleur film que j'ai jamais vu, une expérience inoubliable !"
10,35,8,"Donne moi une caméra je fais mieux en 2 jours"
10,60,8,"et dire que c'est supposé faire peur MDR"
1,53,4,"Un film intéressant, mais je m'attendais à mieux."
2,54,8,"Une histoire émouvante avec une fin surprenante."
3,55,5,"Je n'ai pas trop accroché à ce film, l'intrigue était un peu confuse."
4,56,6,"Un film avec une ambiance unique, mais l'histoire manquait de profondeur."
5,57,9,"Une expérience cinématographique inoubliable, chaque scène était captivante."
6,58,8,"Un film d'action palpitant avec des effets spéciaux époustouflants."
7,59,7,"Une comédie légère et divertissante, parfaite pour une soirée entre amis."
8,60,5,"Un film d'horreur terrifiant, mais l'intrigue était un peu prévisible."
2,85,8,"le meilleur film d'action"
9,85,8,"omg"
9,34,2,"ZzzZzzzZZZzzz"
